Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-monitoring.json	11175	-	0	0	0	0	0	0	7	315	0	0	0	1	0	0	0	1	0	0	109	107	0	0	1	7	0	0
fsh-generated/resources/Observation-AbdominalPainExample.json	1223	4	0	0	1	0	0	0	0	777	0	0	0	0	0	0	0	0	0	0	20	25	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	2344	4	0	0	0	0	0	0	1	126	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample2.json	2219	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	1
fsh-generated/resources/Observation-BodyTemperatureExample.json	1695	3	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyTemperatureExample2.json	1182	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeightExample.json	1687	6	0	0	0	0	0	0	1	117	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeightExample2.json	1174	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-CatheterMovedOrRemovedExample.json	1225	3	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-DiarrheaExample.json	1222	3	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Observation-DistendedAbdomenExample.json	1225	2	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/Observation-HeartRateExample.json	1685	3	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/Observation-HeartRateExample2.json	1172	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Observation-LeakageCatheterExample.json	1218	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/Observation-LevelOfResponsivenessExample.json	1224	3	0	0	1	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-NationalEarlyWarningScoreExample.json	1141	3	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Observation-NauseaExample.json	1215	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-OrthopneuExample.json	1225	2	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	1	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Observation-OxygenSaturationExample.json	1870	3	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Observation-OxygenSaturationExample2.json	1200	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Observation-PainDuringUrinationExample.json	847	2	0	0	1	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Observation-PainInCalvesExample.json	842	4	0	0	0	0	0	0	1	107	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Observation-PainInfectionSiteExample.json	1220	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Observation-PainPunctureWoundsExample.json	1229	3	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Observation-PainSurgicalWoundsExample.json	1221	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Observation-RednessPunctureWoundsExample.json	1224	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ReducedAppetiteExample.json	1231	2	0	0	1	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-RespiratoryRateExample.json	1766	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Observation-RespiratoryRateExample2.json	1196	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ShortnessOfBreathExample.json	1234	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ShoulderPainExample.json	1227	3	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
