Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-monitoring.json	8302	-	0	0	0	0	0	0	6	277	0	0	0	0	0	0	0	1	0	0	84	103	0	0	1	3	0	1
fsh-generated/resources/Observation-AbdominalPainExample.json	1223	18	1	0	0	0	0	0	0	713	0	0	0	0	0	0	0	0	0	0	15	23	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	2344	16	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	17	27	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample2.json	2162	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyTemperatureExample.json	1695	5	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyTemperatureExample2.json	1125	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeightExample.json	1687	4	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/Observation-DistendedAbdomenExample.json	1226	5	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Observation-HeartRateExample.json	1685	5	0	0	0	0	0	0	1	107	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Observation-LevelOfResponsivenessExample.json	1167	4	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-NationalEarlyWarningScoreExample.json	1084	4	1	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Observation-OxygenSaturationExample.json	1870	5	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	32	12	0	0	0	0	0	0
fsh-generated/resources/Observation-PainDuringUrinationExample.json	847	4	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Observation-PainInCalvesExample.json	842	4	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Observation-PainMedicationTakenExample.json	834	4	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Observation-PainSurgicalWoundsExample.json	1221	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ReducedAppetiteExample.json	1231	5	0	0	0	0	0	0	1	213	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-RespiratoryRateExample.json	1766	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ShortnessOfBreathExample.json	1177	3	1	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ShoulderPainExample.json	1215	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
